Rk,Tm,G,PA,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,Sc%,TO%,EXP
1,Baltimore Ravens,12,187,3287,779,4.2,19,8,209,270,446,2060,10,11,4.2,117,286,1227,4,4.3,66,76,596,26,28.5,11.7,90.74
2,San Francisco 49ers,12,189,3581,743,4.8,21,6,226,305,464,2633,12,15,5.3,137,243,948,6,3.9,66,72,580,23,31.1,16.4,36.79
3,Kansas City Chiefs,12,208,3572,718,5,14,8,215,238,382,2196,16,6,5.2,122,297,1376,7,4.6,75,56,479,18,28.5,11.4,6.77
4,Dallas Cowboys,12,220,3445,717,4.8,18,5,211,218,366,2173,17,13,5.4,112,313,1272,10,4.1,68,78,717,31,29.2,13.8,43.22
5,Buffalo Bills,12,227,3839,730,5.3,21,10,228,261,389,2439,16,11,5.7,136,300,1400,8,4.7,65,75,582,27,33.1,15.4,-2.26
6,Pittsburgh Steelers,12,229,4180,787,5.3,20,8,231,245,414,2728,14,12,6.1,132,339,1452,8,4.3,72,71,601,27,34.3,14.9,7
7,Atlanta Falcons,12,240,3791,754,5,15,8,218,246,399,2497,17,7,5.9,129,329,1294,4,3.9,64,84,671,25,35.8,10.9,23.77
8,Minnesota Vikings,12,242,3844,767,5,16,7,223,298,426,2692,15,9,5.9,140,309,1152,7,3.7,73,87,749,10,36.9,12.3,7
9,Green Bay Packers,12,243,4080,785,5.2,13,7,248,251,390,2445,13,6,5.8,131,366,1635,11,4.5,95,71,684,22,37.6,10.4,-31.92
10,Tampa Bay Buccaneers,12,245,4283,773,5.5,18,8,242,285,436,3095,16,10,6.6,153,302,1188,9,3.9,73,77,650,16,36.9,13.8,-32.3
11,Cleveland Browns,12,245,3126,663,4.7,16,7,163,181,323,1841,13,9,5.2,81,306,1285,13,4.2,62,84,704,20,25.3,10.4,68.29
12,Houston Texans,12,249,4106,760,5.4,18,7,240,279,409,2942,12,11,6.7,130,324,1164,14,3.6,82,72,619,28,36.4,12.1,-48.23
13,New York Jets,12,251,3752,804,4.7,19,7,228,232,374,2119,14,12,5.2,118,399,1633,7,4.1,83,64,551,27,34,12.2,29.91
14,Los Angeles Rams,12,253,3970,766,5.2,10,4,237,254,418,2637,13,6,5.9,133,321,1333,11,4.2,81,80,716,23,37.7,7.7,-31.07
15,New England Patriots,12,254,3726,768,4.9,11,5,217,272,414,2662,13,6,6.1,135,330,1064,9,3.2,65,65,462,17,33.1,8.1,-0.81
16,New Orleans Saints,12,255,3870,737,5.3,20,6,222,227,383,2364,16,14,5.9,117,335,1506,9,4.5,78,77,578,27,33.6,13.6,2.25
17,Tennessee Titans,12,255,4044,769,5.3,10,7,232,263,391,2770,14,3,6.5,130,346,1274,8,3.7,73,70,555,29,42.9,6.3,-62.97
18,Las Vegas Raiders,12,256,4125,769,5.4,14,4,244,271,394,2601,15,10,6.2,135,347,1524,12,4.4,88,71,629,21,37.5,10.9,-47.38
19,Los Angeles Chargers,12,258,4554,806,5.7,16,10,261,296,446,3189,17,6,6.5,157,319,1365,13,4.3,76,79,575,28,35.6,11.4,-65.13
20,Jacksonville Jaguars,12,259,4257,754,5.6,21,9,225,302,454,3140,19,12,6.5,146,274,1117,10,4.1,66,80,735,13,31.4,13.9,-17.51
21,Miami Dolphins,12,266,3602,741,4.9,15,5,219,270,401,2443,16,10,5.5,123,299,1159,11,3.9,78,61,481,18,31.1,11.4,24.26
22,Cincinnati Bengals,12,273,4658,764,6.1,19,7,264,261,400,3051,15,12,7.1,146,332,1607,14,4.8,97,67,607,21,39.1,14.3,-76.15
23,Detroit Lions,12,286,3869,726,5.3,14,5,239,256,405,2752,20,9,6.4,145,296,1117,11,3.8,66,62,538,28,37.2,10.9,-39.34
24,Philadelphia Eagles,12,288,4207,775,5.4,14,8,256,313,483,3123,27,6,6,166,258,1084,7,4.2,68,84,656,22,37.3,10.3,-62.58
25,Seattle Seahawks,12,290,4244,821,5.2,15,7,266,295,446,2813,17,8,5.8,149,339,1431,15,4.2,86,76,620,31,40.3,11.2,-49.8
26,New York Giants,12,292,4372,767,5.7,19,7,244,255,406,2739,14,12,6.4,129,340,1633,18,4.8,93,75,622,22,33.8,12.7,-30.21
27,Indianapolis Colts,12,296,4264,832,5.1,20,8,249,260,411,2665,13,12,5.9,129,379,1599,17,4.2,98,65,544,22,37.3,13.3,-12.47
28,Chicago Bears,12,296,3822,726,5.3,17,4,225,297,434,2874,23,13,6.4,147,275,948,6,3.4,58,51,395,20,38.4,12.8,-53.35
29,Denver Broncos,12,302,4623,767,6,22,12,252,267,393,2827,20,10,6.7,137,346,1796,12,5.2,89,89,828,26,42.6,15.5,-77.79
30,Carolina Panthers,12,313,3672,724,5.1,8,2,230,225,351,2170,14,6,5.9,119,354,1502,20,4.2,90,72,527,21,38.2,5.3,-51.11
31,Arizona Cardinals,13,331,4619,839,5.5,15,6,288,279,399,2808,22,9,6.5,159,408,1811,16,4.4,105,82,676,24,42,9.4,-100.65
32,Washington Commanders,13,395,4938,822,6,13,7,256,288,448,3458,30,6,7.2,159,339,1480,10,4.4,80,75,602,17,46.9,8.4,-113.55
